group,sample_size,elevated_cases,recall,weighted_recall,weighted_precision,weighted_false_positive_rate,weighted_roc_auc
Female,424,123,0.846,0.79,0.393,0.365,0.777
Male,354,111,0.847,0.756,0.386,0.49,0.69
